TesterName,StreamName,TestType,MatchFiles,MisMatchFiles,TotalFiles,TotalCDRCompared,FileResult,CDRResult,TimeTaken,Date,ReportFileName
RAJU,NOKIA_MSC_HDBI,DIFF_Summary,10,0,10,64702,PASS,PASS,7.45,14-03-2023 01:07PM,RAJU_NOKIA_MSC_HDBI_DIFF_Summary_2023_03_14-01_07_38_PM.txt
RAJU,NOKIA_MSC_NONCAMEL_VOICE_DOX,DIFF_Summary,10,0,10,289,PASS,PASS,0.05,14-03-2023 01:08PM,RAJU_NOKIA_MSC_NONCAMEL_VOICE_DOX_DIFF_Summary_2023_03_14-01_08_22_PM.txt
RAJU,NOKIA_MSC_NONCAMEL_VOICE_DOX,ZIP_Detailed,10,0,10,289,PASS,n/a,0.02,14-03-2023 01:08PM,RAJU_NOKIA_MSC_NONCAMEL_VOICE_DOX_ZIP_Detailed_2023_03_14-01_08_56_PM.txt
RAJU,NOKIA_MSC_NONCAMEL_SMS_DOX,ZIP_Detailed,10,0,10,161,PASS,n/a,0.02,14-03-2023 01:09PM,RAJU_NOKIA_MSC_NONCAMEL_SMS_DOX_ZIP_Detailed_2023_03_14-01_09_39_PM.txt
RAJU,NOKIA_MSC_NONCAMEL_SMS_DOX,DIFF_Summary,10,0,10,161,PASS,PASS,0.03,14-03-2023 01:10PM,RAJU_NOKIA_MSC_NONCAMEL_SMS_DOX_DIFF_Summary_2023_03_14-01_10_03_PM.txt
RAJU,NOKIA_MSC_FMSC_SMS,ZIP_Detailed,12009,0,12009,57726,PASS,n/a,7.53,15-03-2023 12:03AM,RAJU_NOKIA_MSC_FMSC_SMS_ZIP_Detailed_2023_03_15-12_03_06_AM.txt
RAJU,NOKIA_MSC_FMSC_SMS,DIFF_Summary,12009,0,12009,57726,PASS,PASS,16.12,15-03-2023 12:04AM,RAJU_NOKIA_MSC_FMSC_SMS_DIFF_Summary_2023_03_15-12_04_12_AM.txt
RAJU,NOKIA_MSC_FMSC_VOICE,DIFF_Summary,15625,0,15625,555792,PASS,PASS,83.83,15-03-2023 12:06AM,RAJU_NOKIA_MSC_FMSC_VOICE_DIFF_Summary_2023_03_15-12_05_11_AM.txt
RAJU,NOKIA_MSC_ICR,DIFF_Summary,18753,0,18753,37506,PASS,PASS,24.84,15-03-2023 12:09AM,RAJU_NOKIA_MSC_ICR_DIFF_Summary_2023_03_15-12_08_42_AM.txt
RAJU,NOKIA_MSC_ICB_SMS,DIFF_Summary,13102,0,13102,17984816,PASS,PASS,1848.38,15-03-2023 12:41AM,RAJU_NOKIA_MSC_ICB_SMS_DIFF_Summary_2023_03_15-12_10_36_AM.txt
RAJU,NOKIA_MSC_NRTDE,DIFF_Summary,1578,0,1578,2950,PASS,PASS,2.26,15-03-2023 12:42AM,RAJU_NOKIA_MSC_NRTDE_DIFF_Summary_2023_03_15-12_42_20_AM.txt
